number,theme,bucket,repro_type,verdict,evidence_summary,repro_test_path,recommended_pass1,recommended_pass2_labels,verdict_source,notes
675,robotframework,feature-request,feature,REPRODUCED-on-dev,cumulusci/tasks/robotframework/robotframework.py does not configure traceback logging; rg 'traceback|format_exc|format_tb' in cumulusci/robotframework returns 0 matches. Default robot output shows only the exception's str(); full Python tracebacks require --loglevel TRACE or a custom listener which cumulusci does not provide.,,closed:stale-24mo,"cli-usability,robotframework,stale",dev,"Issue from 2018-07, last activity 2018-09, no activity for ~8 years. Two pragmatic workarounds exist today: (1) users can pass options=loglevel:TRACE to the robot task; (2) python keywords can wrap with traceback.format_exc() and log themselves. Workarounds make this low-priority. Close as stale."
710,scratch-org-config,feature,unit-pytest,REPRODUCED-on-dev,"The four+ default scratch org configs in cumulusci/cumulusci.yml:1559 cannot be disabled by a project. `merge_config` (cumulusci/core/utils.py:158, via dictmerge) drops ``None`` overrides, and BaseProjectKeychain._load_scratch_orgs (cumulusci/core/keychain/base_project_keychain.py:149) iterates every key unconditionally. Two XFAIL assertions added showing the issue's proposed `config_file: None` syntax has no effect today.",cumulusci/tests/triage/test_issue_710.py,keep-open,"enhancement,needs-spec",dev,"API question: should disabling use `config_file: None`, an explicit `disabled: true` flag, or sentinel removal? Tests assert end-state (`dev not in keychain.orgs`) so any of those implementations would pass."
733,cli,A,feature,REPRODUCED-on-v4.10.0,runtime.py:131-133 still raises ClickException with same hard error message; no interactive prompt path,,closed:stale-24mo,"enhancement,cli-usability,stale",v4.10.0,Stale 7yr feature request; confirm dry-run proposal stands
773,docs,feature-with-doc-component,doc-gap,REPRODUCED-on-dev,"cdcarter (2018) asked for tasks to declare ``return_values``/``result`` and for ``cci task info`` plus the web docs to surface them. On dev (1925a3083), ``BaseTask`` (``cumulusci/core/tasks.py:51``) only declares ``return_values`` as a runtime dict (line 64, populated as ``self.return_values = {}`` at line 92) — no declarative schema attribute. ``doc_task()`` in ``cumulusci/utils/__init__.py:354`` walks ``task_options`` and a free-form ``task_docs`` string but emits no ""Return Values"" / ""Returns"" section. The docs themselves admit the gap: ``docs/config.md:740-744`` literally says ""Current task return values are _not_ documented, so finding return values set by a specific task (if any) requires you to read the source code"". 8 years stale but still 100% accurate.",/tmp/repro/17/tests/test_issue_773.py,keep-open,"area/docs,area/tasks,type/enhancement",dev,"Pass-2: still actionable. Fix sketch: add a class attr like ``return_values_schema: Dict[str, str]`` (key -> one-line description) on BaseTask, extend ``doc_task`` to render a ""Return Values"" RST section when the attr is non-empty, and backfill the common return-value-emitting tasks (PackageUpload, GithubRelease, PromotePackageVersion, etc.). Same convention can power web docs since web docs use the same ``doc_task``."
808,metadata-etl,B,bug,REPRODUCED-on-dev,UninstallPackaged._init_options (cumulusci/tasks/salesforce/UninstallPackaged.py:25) defaults the 'package' option to project__package__name only; project__package__name_managed is never consulted (compare InstallPackageVersion which does fall back through name_managed -> name -> namespace at install_package_version.py:75-79). uninstall_packaged_incremental therefore retrieves the wrong package when name_managed is set,,keep-open,"bug,good-first-issue",dev,"Static-analysis confirmation; live repro needs a packaging org with a managed package whose name differs from project__package__name. Minimal fix: in UninstallPackaged._init_options, do `self.project_config.project__package__name_managed or self.project_config.project__package__name`. Also revisit jlantz's 2018 follow-up about deprecating name_managed entirely.; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d)."
987,robotframework,user-error-or-stale,bug,NOT-REPRODUCED-on-dev,"Issue is Spring 19 Salesforce + Chromedriver 2.46 + Selenium ~3.x shadow-DOM-specific. Reporter explicitly stated workaround works (""I figured out a work-around. Use firefox with geckodriver. Everything works as intended now."") and the underlying Chrome/Selenium/Salesforce stack has changed substantially. cumulusci/robotframework/Salesforce.py:154 click_object_button still uses _jsclick but the upstream shadow-DOM bug it depends on no longer manifests the same way.",,closed:stale-24mo,"stale,user-error",dev,"Reporter found workaround within days; last meaningful activity 2022-06. Spring 19 UI no longer exists. 7 years stale, ineligible for repro without specific reproducible scenario."
1348,cli,A,feature,REPRODUCED-on-v4.10.0,No 'gitlab' or 'bitbucket' references anywhere in cumulusci/; ci_feature flow still uses github_parent_pr_notes/github_automerge_feature tasks,,closed:stale-24mo,"enhancement,stale,wontfix-candidate",v4.10.0,Architectural change scoped to GitHub only; stale 6yr
1350,cli,A,bug,NOT-REPRODUCED-on-v4.10.0,project_config.py:52-57 sets up synthetic 'tasks' namespace package; include_source() at line 662 calls _add_tasks_directory_to_python_path() which extends tasks.__path__ for each loaded source,,closed:not-reproducible-on-v4.10.0,fixed,v4.10.0,Original ModuleNotFoundError fixed via tasks namespace package; collision concern raised in 2022 comments is separate
1432,cli,A,bug,REPRODUCED-on-v4.10.0,core/tasks.py:186-196 _validate_options() only checks required; old-style task_options dict path silently accepts unknown keys (test passed). Pydantic Options class path now rejects extras.,/tmp/repro/7/tests/test_1432_options_validation.py,closed:stale-24mo,"bug,stale,partially-fixed",v4.10.0,Partially mitigated for tasks using new Pydantic Options class; old task_options dict still vulnerable
1769,bulkdata,A,bug,REPRODUCED-on-v4.10.0,"Test code-smell: `lookups[""Id""] = MappingLookup(name=""Id"", table=""accounts"", key_field=""sf_id"")` pattern still present in test_load.py:736 (was line 352 in 2020). davidmreed acknowledged ""horrible hack"" but never refactored. Pattern repeats at lines 754, 773, 801. Used to express UPDATE-on-Id dependency in `_expand_mapping` after_steps fixtures.",,closed:stale-24mo,"test-cleanup,low-priority",v4.10.0,"Issue is a test-fixture style question, never escalated to bug. 6 yrs old."
2013,bulkdata,A,bug,REPRODUCED-on-v4.10.0,"`create_table_if_needed` (utils.py:133-139) calls `Table(tablename, metadata, *fields)` then checks `inspector.has_table()` for the BulkDataException. SQLAlchemy raises `InvalidRequestError: Table 'X' is already defined for this MetaData instance` BEFORE the inspector check fires. Reproduced exact 2020 traceback verbatim with two MappingStep(sf_object=Account, table=Account) entries.",/tmp/repro/9/tests/test_2013_multistep.py,keep-open,"bug,bulkdata,extract_dataset,error-handling",v4.10.0,"Trivial fix: try/except around Table() to convert to BulkDataException, or use `extend_existing=True`. Or detect the duplicate-table case in mapping_parser at validation time."
2096,bulkdata,A,bug,NOT-REPRODUCED-on-v4.10.0,REST DML (`step.py:778-784 RestApiDmlOperation._record_to_json`) calls `process_bool_arg` for boolean fields. `process_bool_arg` (core/utils.py:53-83) accepts the full Salesforce Data Loader spectrum: yes/y/true/on/1 -> True; no/n/false/off/0 -> False (case-insensitive). Tested all 20 spectrum values; all pass.,/tmp/repro/9/tests/test_2096_rest_booleans.py,closed:not-reproducible-on-v4.10.0,"resolved,bulkdata",v4.10.0,Fix predates v4.10.0; the spec referenced in the issue is now followed.
2126,keychain,feature,feature,NOT-REPRODUCED-on-dev,"Feature request for `encrypt_all_encryptable_fields` Metadata-ETL task using probabilistic Shield encryption. Author (davidmreed, 2022-01-28) wrote ""feature has been developed but is blocked by bugs in the underlying platform functionality"". No matching task exists in cumulusci/ today (grep for `encryptionScheme`/`encrypt_all_encryptable`/`probabilistic` returns 0 hits in cumulusci/). 5+ years stale, still labelled `blocked`. Not a keychain bug \u2014 theme misclassification (encryption-via-Shield, not encryption-at-rest).",,closed:stale-24mo,"area/metadata-etl,blocked",dev,"Theme mislabel: this is metadata-etl/Shield, not keychain. Pass-2: relabel before closing; if owner still wants it, keep-open with `blocked`."
2140,cli,A,feature,REPRODUCED-on-v4.10.0,runtime.py get_org() calls keychain.get_org which raises OrgNotFound; cli/org.py:530-531 just shows 'Org X does not exist'; no interactive prompt offering scratch configs,,closed:stale-24mo,"enhancement,cli-usability,stale",v4.10.0,Stale 5yr feature request
2153,ci-integration,A,feature,REPRODUCED-on-dev,"Code scan of cumulusci/tasks/github/merge.py shows _create_conflict_pull_request (lines 264-288) only calls self.repo.create_pull(...) for the new auto-generated ""Merge <source> into <branch>"" PR. There is no call to comment on the original (source) PR or its branch's open PR. Repo-wide grep for ""create_comment"" / ""issue_comment"" in cumulusci/tasks/github returns no matches in production code (only in test fixture util_github_api.py). Feature is still unimplemented on v4.10.0.",,keep-open,"enhancement,github,merge-conflict",dev,"Small enhancement; could be implemented inside _create_conflict_pull_request after pull = self.repo.create_pull(...). Need design decision on how to find the ""original PR"" (search open PRs whose head==branch_name?).; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d)."
2325,bulkdata,A,feature,REPRODUCED-on-v4.10.0,"No `set_validation_rule_status` or `disable_validation_rules` task in cumulusci.yml. Analogs exist for triggers (`disable_tdtm_trigger_handlers`/`restore_tdtm_trigger_handlers` lines 738-747) and DuplicateRules (`set_duplicate_rule_status` -> tasks/metadata_etl/duplicate_rules.py). Implementation pattern is established: a `MetadataSingleEntityTransformTask` subclass with `entity = ""ValidationRule""` would satisfy this.",,keep-open,"enhancement,bulkdata,metadata_etl,good-first-issue",v4.10.0,Clear pattern to follow from SetDuplicateRuleStatus. Small implementation effort.
2402,cli,A,feature,REPRODUCED-on-v4.10.0,cli/flow.py:119-145 flow_run only has --delete-org flag; no --rebuild-org option; no rg matches anywhere,,closed:stale-24mo,"enhancement,stale",v4.10.0,Stale 5yr; tracked as W-10502624
2500,docs,feature-with-doc-component,doc-gap,REPRODUCED-on-dev,"prescod (2021) flagged that ``ignore_failure`` is not documented. On dev, the option is real and supported: ``Step.ignore_failure: bool = False`` (``cumulusci/utils/yaml/cumulusci_yml.py:45``), used in ``flowrunner.py:667`` as ``allow_failure=step_config.get(""ignore_failure"", False)``, and present in the JSON schema (``cumulusci/schema/cumulusci.jsonschema.json:149``). In the docs directory, the only mentions are (a) a single example YAML at ``docs/config.md:800`` (in a release-flow snippet) and (b) a one-line changelog blurb at ``docs/history.md:5993``. The ""Flow Configurations"" chapter has subsections for ""Add a Flow Step"", ""Skip a Flow Step"", ""Replace a Flow Step"", ""Conditionally Run a Flow Step"" (``when:``), but no parallel subsection for ``ignore_failure``. The follow-up GUS ticket W-10908655 (davidmreed, 2022-03-28) was created but nothing landed.",/tmp/repro/17/tests/test_issue_2500.py,keep-open,"area/docs,area/flows,good-first-issue",dev,"Pass-2: trivial documentation PR. Fix sketch: add a ``### Ignore a Failed Step`` (or ``Continue on Step Failure``) subsection under ``## Flow Configurations`` in ``docs/config.md``, parallel to ""Conditionally Run a Flow Step"". Cover: (1) what the option does (don't raise the task's exception; the flow continues with the next step); (2) interaction with ``result`` / ``return_values`` for downstream steps that conditioned on success; (3) when NOT to use it (silently swallowing failures hides regressions in CI); (4) link to the ``when:`` mechanism for branching instead of swallowing."
2505,bulkdata,A,feature,NOT-REPRODUCED-on-v4.10.0,"`MappingStep.soql_filter` field added (mapping_parser.py:120). `extract.py:142-147` applies it via `append_filter_clause` (extract.py:420). Also surfaced in extract-mapping generator (extract_mapping_file_generator.py:26 reads `where:` from declarations into `soql_filter`). Tests cover plain filter, filter prefixed with WHERE, and no-record-type variants (test_extract.py:1216,1248,1280).",,closed:feature-implemented,"resolved,bulkdata,extract_dataset",v4.10.0,WHERE-clause filtering for extraction is implemented via `soql_filter` per mapping step.
2506,bulkdata,A,feature,REPRODUCED-on-v4.10.0,"Snowfakery task DOES respect `get_debug_mode()` (snowfakery.py:241,355,385,565) and prints the working tempdir on each loop iteration. But the core bulk operations (extract.py, load.py, step.py) have no `--debug` mode that retains tempfiles or logs their paths. extract.py and step.py have ZERO matches for debug_mode/get_debug_mode/delete=False.",,keep-open,"enhancement,bulkdata,extract_dataset,load_dataset,debugging",v4.10.0,Partial: Snowfakery only. Could be extended to load_dataset/extract_dataset by wiring `get_debug_mode` and using TemporaryDirectory(delete=False) when set.
2507,cli,A,feature,REPRODUCED-on-v4.10.0,"No undo_insert task in repo; bulkdata/load.py and snowfakery have enable_rollback option but only triggers on error, not the requested ad-hoc undo",,closed:stale-24mo,"enhancement,stale,partially-fixed",v4.10.0,Partial mitigation via enable_rollback (rollback on error); standalone undo task still missing
2508,bulkdata,A,feature,REPRODUCED-on-v4.10.0,"No retry-only-failed-records feature in v4.10.0. `cci task list` shows zero retry-named tasks. There is an `enable_rollback` option on load_dataset (load.py:97-98, RollbackType enum at load.py:1051) but that performs the OPPOSITE: undoes successful inserts when failures occur. RowErrorChecker (utils.py:158) only logs/raises; it does not persist failed rows for retry.",,keep-open,"enhancement,bulkdata,load_dataset,reliability",v4.10.0,Distinct from rollback. Would require persisting failed-record CSV/SQL output and a new task that consumes it.
2667,auth,enhancement,cli-output,NOT-REPRODUCED-on-dev,"cumulusci/cli/org.py:204 already emits ""Connecting org using the {connected_app_name} connected app..."" before connecting. Implemented by commit 40520bee4 (2022-01-31, post-issue-filing). Existing tests at cumulusci/cli/tests/test_org.py:135 and :191 assert the connected-app name is present in CLI output for both default (""built-in"") and non-default (""other"") connected apps. All 10 org_connect tests pass on dev (1925a3083). Issue description requested ""Using connected_app 'xyzzy'""; current implementation produces functionally equivalent message.",,close-stale,"resolved,implemented",dev,"Originally requested by prescod 2021-06-08; davidmreed noted W-9863651 covering on 2022-01-28. Implementation landed shortly after. davisagli's follow-up suggestions (storing connected_app on OrgConfig, configurable login URLs per connected app) are partially addressed: org_config.config[""connected_app""] is now stored (line 155). Login-URL-per-connected-app remains a separate concern not blocking close."
2697,cli,B,bug,INCONCLUSIVE-needs-scratch-slot,namespaced field is sourced from cci config not auto-derived from SFDX qa.json; keychain create_scratch_org defaults namespaced=False (base_project_keychain.py:74). Requires scratch org to confirm cli/org.py 'org info' output behavior matches reporter's expectation,,closed:stale-24mo,"bug,stale,needs-info",v4.10.0,User expectation conflicts with cci design; field is cci-controlled not derived from SFDX def. Scratch creation skipped (DevHub limit prudence); behavior likely unchanged
2826,metadata-etl,B,bug,REPRODUCED-on-dev,PackageXmlGenerator.parse_types (cumulusci/tasks/metadata/package.py:107) calls os.listdir(self.directory) without a pre-check; UpdatePackageXml._run_task (line 612) does not guard. Unit repro raises FileNotFoundError when path is missing rather than silently no-opping the way the issue title says deploy_unmanaged 'is supposed to',/tmp/repro/5/tests/issue-2826/repro_unit.py,keep-open,"bug,good-first-issue",dev,"Behavior unchanged from 2021. Smallest change: in UpdatePackageXml._init_task (or _run_task) skip with logger.info('No package directory at {path}; skipping') when not Path(path).exists(). Could also be done at the deploy_unmanaged flow level via a `when:` clause, e.g. when: project_config.has_package_directory.; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d)."
2951,bulkdata,A,bug,REPRODUCED-on-v4.10.0,"Loader has no special PricebookEntry sequencing logic. Within a single Insert PricebookEntry mapping step, records (whether targeting Standard Price Book or custom) are sent to Bulk/REST in mixed order, hitting STANDARD_PRICE_NOT_DEFINED. Mitigation: hardcoded_default_declarations.py:14-18 filters out Standard Price Book during extract_dataset by default, so the typical extract->load round-trip avoids this. But manually-authored mappings (like reporter's) still hit it.",,keep-open,"bug,bulkdata,load_dataset,pricebook,documentation",v4.10.0,"Could be addressed by either (a) auto-splitting PricebookEntry into two implicit steps (standard first, custom second), or (b) documenting that PricebookEntries against Standard pricebook must be in a separate, earlier mapping step."
2979,packaging,A,feature,REPRODUCED-on-v4.10.0,deploy task in cumulusci.yml still hardcodes path: src; default_package_path exists but is not wired into Deploy task,,keep-open,"severity:low,area:packaging,area:sfdx,state:needs-design",v4.10.0,default_package_path is wired only into create_package_version; would need backwards-compat design (per davisagli comment)
3015,cli,A,feature,REPRODUCED-on-v4.10.0,cli/org.py:519-543 org_remove always calls delete_org() if can_delete; no --keep-org or -o flag,,closed:stale-24mo,"enhancement,stale",v4.10.0,Stale 4yr; tracked as W-10502512; davisagli workaround (delete .org file directly) still applies
3024,cli,A,feature,REPRODUCED-on-v4.10.0,Flow groups in cumulusci/cumulusci.yml still appear in original order: Metadata Transformations first; Continuous Integration appears at position ~23. User-requested 'Org Setup' group does not exist (uses 'Setup' instead),,closed:stale-24mo,"enhancement,stale",v4.10.0,Stale 4yr cosmetic VS Code extension request
3137,metadata-etl,A,feature,REPRODUCED-on-v4.10.0,CustomObjectParser at package.py:443-461 still skips non-__c/__mdt/__e/__b objects; no opt-in option added to UpdatePackageXml,,keep-open,"severity:low,area:metadata-etl,type:enhancement,state:needs-design",v4.10.0,Maintainer agreed in 2022 it's by-design; needs design for an include_standard_objects option
3161,cli,A,feature,REPRODUCED-on-v4.10.0,flowrunner.py:317-320 _obfuscate_if_sensitive masks if task_options info.sensitive==True; partial implementation. No CLI-time hide flag for ad-hoc values like robot__vars; robot vars option not marked sensitive,,closed:stale-24mo,"enhancement,stale,partially-implemented",v4.10.0,Infrastructure exists for sensitive task option metadata; user's ad-hoc CLI -o hiding still missing
3165,metadata-etl,B,bug,REPRODUCED-on-v4.10.0,"_expand_package_xml_objects (which adds objects referenced by record_types to the retrieve package.xml) is only invoked from inside _expand_package_xml, which is gated on include_packaged_objects=True (update_profile.py:137-138 and 182). When include_packaged_objects is False (the default unless project's minimum_cumulusci_version >= 3.9.0), record_types referencing standard objects not already in admin_profile.xml (e.g. Case) are never added to the retrieve, the retrieved Admin profile lacks those recordTypeVisibilities, and _set_record_types raises TaskOptionsError 'Record Type X not found in retrieved Admin.profile'. Existing test test_init_options__include_packaged_objects asserts _expand_package_xml.assert_not_called() in that branch (test_ProfileGrantAllAccess.py:609-615) which proves the gating",/tmp/repro/5/tests/issue-3165/repro_unit.py,keep-open,bug,v4.10.0,"Smallest fix: in update_profile.py:137 always call self._expand_package_xml_objects(package_xml) (regardless of include_packaged_objects), and only call self._expand_package_xml when include_packaged_objects is True. _expand_package_xml_objects only walks the user-supplied record_types option; it does not need a Tooling API query."
3167,metadata-etl,B,feature,NOT-REPRODUCED-on-v4.10.0,"page_layout key on record_types is fully implemented in ProfileGrantAllAccess._set_record_types (update_profile.py:280-298). Documented in the record_types task option description (update_profile.py:32-34). Landed in PR #3243 (commit f2ff04bd5) in June 2022, well before v4.10.0",,close-as-implemented,enhancement,v4.10.0,Feature is shipped; documentation is in cci task info `update_admin_profile`. Could add a CHANGES note or a docs example showing the page_layout usage.
3283,bulkdata,A,bug,NOT-REPRODUCED-on-v4.10.0,"PR #3361 (commit b0bfb70e0, ""Support updates and upserts with blank dates represented by strings"") is in v4.10.0 (verified via `git merge-base --is-ancestor`). Fix at step.py:795-796: for UPDATE/UPSERT, empty strings are converted to None. Repro test confirms empty Birthdate -> JSON null for both UPDATE and UPSERT, and is dropped entirely for INSERT.",/tmp/repro/9/tests/test_3283_empty_date.py,closed:fixed-by-pr-#3361,"resolved,bulkdata,load_dataset",v4.10.0,"Reporter's own last comment (""Fixed in #3361"") confirms this; repro test now verifies behavior on v4.10.0 source."
3306,scratch-org-config,feature,no-test-feature-request,NOT-REPRODUCED-on-dev,"`cci org scratch ... --release preview` exists in cumulusci/cli/org.py:567 but `cci flow run` has no `--release`/`--preview` flag (cumulusci/cli/flow.py 119-150). Internally tracked as W-11486409; no PR landed. Issue is a never-implemented enhancement, not a regression.",,keep-open,"enhancement,needs-spec",dev,"Workaround today is `cci org scratch <name> <alias> --release preview` then `cci flow run dev_org --org <alias>`. No test written — API/UX (--preview vs --release flag, semantics for non-scratch orgs) not yet specced."
3307,cli,A,feature,REPRODUCED-on-v4.10.0,cli/project.py project_init only renders internal Jinja templates from cumulusci/files/templates/project; no --template option exists,,closed:stale-24mo,"enhancement,stale",v4.10.0,Stale 4yr; user marked 'low priority/nice to have'
3320,metadata-etl,A,feature,NOT-REPRODUCED-on-v4.10.0,deactivate_flow task is shipped in cumulusci/cumulusci.yml:10-15 using ActivateFlow class with status:False,,closed:feature-implemented,"area:metadata-etl,type:enhancement,resolution:already-implemented",v4.10.0,Reporter likely missed that deactivate_flow exists; ActivateFlow.status:False does the work
3331,metadata-etl,A,bug,REPRODUCED-on-v4.10.0,metadata_map.yml line 46 maps assignmentRules folder to type AssignmentRule (singular); MDAPI requires AssignmentRules plural,/tmp/repro/2/tests/test_issues_bucket_a.py::test_issue_3331_assignment_rules_metadata_type_plural,keep-open,"severity:medium,area:metadata-etl,type:bug,good-first-issue",v4.10.0,One-line fix in metadata_map.yml; reporter offered a PR; cross-cutting hint: autoResponseRules already plural in same file
3347,release-unlocked-beta-typeerror,C,code-only,NOT-REPRODUCED-on-v4.10.0,create_package_version.py:158-159 now raises TaskOptionsError(PERSISTENT_ORG_ERROR) early when org_config.config_file is None; replaces the cryptic TypeError reported. Fix landed in commit 2a9cadcb1 on 2023-10-12. Existing test at cumulusci/tasks/tests/test_create_package_version.py::TestPackageConfig::test_org_config validates the new behavior (passes on HEAD).,cumulusci/tasks/tests/test_create_package_version.py::TestPackageConfig::test_org_config,close-with-comment,resolved-by-clear-error-message,v4.10.0,Cryptic TypeError replaced by clear actionable TaskOptionsError. Underlying limitation (cannot use persistent org for 2GP package upload) is documented now.
3349,bulkdata,A,bug,REPRODUCED-on-v4.10.0,"mapping_parser.py:177-179 still names recordtype tables as f""{self.sf_object}_rt_mapping"" (and ""_rt_target_mapping""). Two MappingStep entries for the same sf_object (e.g. Account business vs PersonAccount) collide on the same SQLite table when extracted/loaded together. load.py:552 and extract.py:259/393 both use the sf_object-derived names with no per-step disambiguation.",/tmp/repro/10/tests/test_3349_recordtype_table_collision.py,keep-open,"keep-open,bug,area:bulkdata,severity:major,v5-candidate:yes",v4.10.0,"Has maintainer label wi-created (W-11466074). Real bug, fix would change get_source/destination_record_type_table to use self.table when present. Active community impact (Person Accounts + Business Accounts a common case)."
